text,label,rate
sản phẩm tôt giao hang nhanh,POS,4
hàng bình thường,NEU,3
k con duong nao de che,NEG,1
chất vải ok dày dặn,POS,5
ưng,POS,4
nay mua thêm 1 combo nữa,NEU,3
áo dep lam shop ui mình rat thix,POS,5
thời gian giao hàng nhanh,POS,5
rất ưng hii,POS,5
k giao,NEG,2
màu sắc k giống hình,NEG,2
áo vải quá xấu,NEG,1
nói chung là mình mua mặc đi làm ok đáng tiền,POS,5
shop nhiệt tình giúp đỡ chất lượng quần thì khỏi chê dài rộng gì cũng vừa ý mình hết,POS,5
yêu cầu đổi trả shop yêu cầu gửi ảnh gửi cho r im lặng,NEG,2
thời gian giao hàng rất nhanh rất đáng tiền shop phục vụ rất tốt đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn đóng gói sản phẩm rất đẹp và chắc chắn đóng gói sản phẩm rất đẹp và chắc chắn,POS,5
hàng kém chất lượng và không như quảng cáo,NEG,2
shop phục vụ rất tốt,POS,5
nói chung là không thất vọng đâu,POS,4
chất lượng sản phẩm tuyệt vời,POS,5
sản phẩm giống hình,NEU,3
giầy hơi cứng chất lượng sản phẩm tạm được,NEU,3
sờ chất quần thì ok luôn,POS,4
vay đẹp kỹ tu van nhiet tinh,POS,5
y hình,POS,5
nt ko trả lời,NEG,2
châ t lươ ng vư a vơ i gia tiê n,POS,4
sẽ ủng hộ shop dài,POS,5
hàng chất lượng hơn giá sản phẩm nhak mọi người,POS,4
áo rách ntn ko hiểu phải mặc ntn luôn,NEG,1
nhưng cũng phù hợp với giá tiền mặc vẫn ok,POS,4
đô mă c vư a thun hơi ôm dê thâ y bu ng,POS,4
chọn màu này lấy màu kia,NEG,2
hàng tương đối ổn mình khá hài lòng,POS,4
inbox ko thèm trả lời,NEG,2
mình mua 2 chai về tàng trữ dần vì loại này vừa tẩy sạch vừa không dễ gây mụn như dầu tẩy trang,POS,5
mất uy tín,NEG,1
màu ngoài ko giống trong ảnh nhưng chất lượng khá ok với giá,POS,4
rất ưng,POS,5
shop giao hàng nhanh gửi đúng màu áo giống hình mặc dù chất vải ko đẹp như mong muốn nhưng vẫn cho shop 5,POS,4
shop phục vụ rất tốt thời gian giao hàng rất nhanh,POS,5
giày đẹp lắm giao hàng lâu quá mun điên,POS,4
shop giao siêu nhanh,POS,5
giao hàng nhanh,POS,5
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn rất đáng tiền thời gian giao hàng tạm được đáng đồng tiền,POS,4
chất lượng sản phẩm tuyệt vời,POS,5
vừa ý,POS,4
4 quần size l nhưng lại bị cái to cái bé còn với giá tiền nvay thì cũng k mong chất đẹp hơn,POS,4
shop phục vụ rất tốt thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh,POS,5
nhưng ko sao tks shop,POS,4
chất lượng sp tốt nhưng giao hàng chậm onl cũng chẳng trả lời gì,POS,4
vài thun rất mỏng ko fai len,NEG,1
đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt,POS,5
đóng gói sản phẩm chắc chắn shop giao hàng nhanh nhận ngay 20 10 về sp thì chất vải cũng đc hợp mặc mùa thu áo đẹp nhưng mà shop nên kiểm tra kĩ sp đi ạ áo thì cứ vài chỗ lại có vết bẩn xong lại có màu xanh xanh ở gần đuôi áo chưa kể lúc mở hàng ra thì bị ngay cái dằm suýt đâm vào tay,POS,4
shop giao hàng cực nhanh lun trưa hom qua đặt mà trưa nay đã giao,POS,5
thêm tin tưởng vào shoppe,POS,4
áo vải đẹp mịn mát,POS,5
chất lượng sản phẩm tuyệt vời thời gian giao hàng rất nhanh,POS,5
chủ shop nhiệt tình,POS,5
rất đáng tiền,POS,5
sản phẩm rất đẹp,POS,5
hơi thô,NEG,2
va i râ t mo ng,NEG,2
hàng y như hình,NEU,3
đẹp lại rẻ,POS,5
chất lượng sản phẩm tuyệt vời ưng sẽ ủng hộ shop dài giao hàng nhanh,POS,5
quay lại sửa đánh giá sau khi tung tăng mặc váy diện muôn nơi váy chất k có gì để chê tuyệt vời dày dặn mặc đúng kiểu chùm chân mình thích che được mông cạp cao mặc lên eo ót với cả chân dài cả mét tuyệt vời cho 1 chiếc váy <num> k,POS,5
ao mặc đẹp chất đẹp thời gian giao hàng rất nhanh,POS,5
giao hàng rất nhanh áo đẹp nói chung rất hài lòng,POS,5
đặt xanh đậm mà giao mảu xám thất vọng quá màu thấy củ xèm,NEG,2
quả ko đẹp chất lượng sản phẩm tạm được,NEG,2
áo chất đẹp shop phục vụ tốt,POS,4
đóng gói sản phẩm chắc chắn,POS,5
tôi rất hài lòng về sản phẩm,POS,5
chất lượng sản phẩm tuyệt vời rất ưng ý đồ đẹp,POS,5
shop lam ăn không uy tín sảm phẩm thì dỗm chát thì chặn,NEG,1
hàng rất ok,POS,5
cl phù hợp giá tiền,NEU,3
đúng hình ảnh đẹp,POS,5
mẫu cũng đa dạng,POS,5
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn,POS,5
hết hàng thì phải báo với khách chứ đằng này vẫn giao,NEG,2
ban đầu mình nghĩ là ren mỏng nhưng nhận đc thì thấy ren đẹp hơn mình tưởng tượng,POS,5
đẹp vừa ý,POS,4
tuyệt ạ giày nhẹ êm,POS,5
đúng mỗi 1 màu,NEG,2
sản phẩm chất lượng,POS,4
cổ áo bị rách shop nên ktra kĩ trc khi giao mình 40 kg cao 1 55 m mà mặc hơi chật,NEG,1
đóng gói kỹ,POS,5
gói hàng cẩn thận,POS,5
cảm ơn shop nhìu,POS,4
đây là lần thứ 2 mua sp của shop giày đẹp cách phục vụ tốt sẽ ủng hộ shop nhiều nữa,POS,5
son lên màu đẹp không bị khô cứng và lộ vân môi như màu 12 rất đáng tiền,POS,5
cảm ơn shop nhé,POS,4
giống hình mà vải hơi cứng bạn ạk,POS,4
chất áo đẹp lắm yêu shop,POS,5
quần của shop quá đẹp luôn,POS,5
minh lay sz lớn nhất cho rộng roi sz xxl mà nhìn thay bé hơn quần củ chồng mình 72 kg sp chất thì nhìn tốt đóng gói sản phẩm rất đẹp và chắc chắn,POS,5
chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn đóng gói sản phẩm rất đẹp và chắc chắn thời gian giao hàng rất nhanh rất đáng tiền,POS,5
chất thì ok nhưng cổ áo ko giống hình cổ áo ko rộng mà ôm,NEU,3
đặt 2 quần dài mà đóng gói cho 1 quần ngố,NEG,2
khuyến khích cho 5,POS,5
nét chữ không được rõ sp có mùi hơi kinh,NEG,1
mă c phô i vơ i chân va y hay jean đê u đe p,POS,5
nhưng ghtk thu tròn <num> 00 đ,NEG,2
không giống hình cho lắm nhưng chất lượng cũng ok mua 3 mà mỗi sp này là đc,NEU,3
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn sácg hay,POS,5
đóng gói sp chắc chắn giao hàng rất nhanh,POS,5
chất lượng sản phẩm kém không giống như mô tả,NEG,2
đáng tiền,POS,5
váy mặc siêu xinh,POS,5
thời gian giao hàng rất nhanh hàng y hình,POS,4
vải thì rất đẹp,POS,5
tiền nào cũa náy,NEU,3
goodd,POS,5
áo rộng hơn hình nhiều,NEG,2
đóng gói sản phẩm rất đẹp và chắc chắn,POS,5
kem bên trong là màu trắng khác với kem ngày là màu vàng nhẹ thời gian giao hàng chậm,NEU,3
áo from rộng như ảnh,POS,5
chất liệu vải ổn nhưng hơi rộng,NEU,3
ship ko đúng màu,NEG,1
vãi nĩ dày nóng,NEG,2
shop phục vụ rất tốt chất lượng sp ok,POS,5
ngon đấy nhưng đang ăn thì ăn phải cọng thun,NEG,2
khá ok sẽ ủng hộ shop tiếp,POS,4
đẹp lắm nha,POS,5
áo vừa quá,POS,5
thời gian giao hàng nhanh,POS,4
áo đẹp lắm b ơi,POS,5
màu thì ko thực sự giống trong hình,NEG,1
chất lượng vải kém ko như hình,NEG,2
đã quay video và chụp ảnh nhưng shop không phản hồi,NEG,2
quần thoải mái vừa vặn đẹp shop phục vụ rất tốt,POS,5
vận chuyển hàg k nhắt lót vào cặp nên cắp bị méo mất dág,NEG,2
giao 2 sp trat lat het 2 sp minh la de chiu nhat hi ua hang hoi that vong,NEG,2
ngày qua flash sale 39 k chai hết flash lên 55 k xong 50 k,NEU,3
đóng gói sản phẩm rất đẹp và chắc chắn,POS,4
chất dc,POS,5
chất lượng sản phẩm tuyệt vời hợp với giá tiền sờ siêu thích màu random nhưng đẹp lắm ạ,POS,5
mật ong loãng ko đặc sánh lắm,NEG,2
sẽ tiếp tục ủng hộ shop dài lâu,POS,5
dép đi êm và mềm,POS,4
váy đẹp vải thì mình thấy pha nilon nên hơi nóng,NEU,3
chất tạm dc tương sứng giá tiền,POS,5
giao hàng và chăm sóc tận tình,POS,5
giá tốt nhưng giao hàng chậm quá không có số đt liên hệ khi cần gấp,NEU,3
shop cho doi tra ok,NEU,3
thâ t sư mi nh qua ưng cho 1 sp re ma châ t lươ ng,POS,5
lọc ổn nhưng hi vọng shop đóng hàng kĩ hơn,POS,4
vải mỏng thô hơn mình tưởng tượng,NEU,3
giao hàng nhanh,POS,5
thời gian giao hàng nhanh chất lượng sản phẩm tốt đóng gói sản phẩm chắc chắn shop phục vụ khá tốt,POS,5
áo màu sắc tươi sáng vải chất ạ,POS,5
shop rất thái độ với khách hàng,NEG,1
bị chật ngắn,NEG,2
shop phục vụ rất tốt thời gian giao hàng rất nhanh chất lượng sản phẩm tuyệt vời rất đáng tiền,POS,5
được tốt,POS,5
chất lượng sản phẩm tuyệt vời,POS,5
chất lượng sp qá tệ,NEG,1
chủ shop nhiệt tình dễ thương,POS,5
giao ha ng nhanh,POS,4
đàn nhìn cưng lắm,POS,4
chất lượng sản phẩm tuyệt vời quần hơi mỏng ạ,POS,4
chất lượng sản phẩm rất kém shop phục vụ rất kém rất không đáng tiền shop phu c vu qua kem nhan tin ve so tien se hoan lai thi khong thay tra lo i gi het,NEG,1
nhưng khá ok rồi,POS,4
hihi ưng lắm ạ giày đẹp lắm nha m n đi êm mà dễ phối đồ cực,POS,5
chả ra gì cả chất lượng kém,NEG,1
gui sai một sp còn lại chất lượng tốt,NEU,3
chất rất oke,POS,5
rất ưng mặc thoải mái mà chất vải rất thích,POS,5
nhưng mà shop nói có tặng kèm dây đàn mà mình nhận được không có ạ,NEG,2
shop phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh rất ưng,POS,5
rất ưng ý sẽ tiếp tục mua để ủng hộ shop,POS,5
chứ nhận hàng hết cả hồn ngâm xà bông chà mãi vẫn k sạch,NEG,1
ai thik mua cho n size lơ n hơn 2 size ok hơn,POS,4
đẹp hút hồn,POS,5
giao hàng cũng nhanh,POS,4
giá còn rẻ,POS,4
đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tốt đóng gói sản phẩm rất đẹp và chắc chắn,POS,5
sản phẩm bị ỉu không giòn và cũng không có thời hạn sử dụng trên bao bì,NEG,2
không tốt chất liệu sấu,NEG,2
chất lượng sản phẩm tuyệt vời shop này uy tín quá,POS,5
vải kate thun mỏng nhẹ mát,POS,5
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt,POS,5
chất vải được,POS,4
sản phẩm đẹp ổn chắc chắn mà lại rẻ hơn so vs mình mua ngoàí shop đắt mà mặc chưa đc 1 hôm đã đứt khuy,POS,5
áo sơ mi đẹp giống hình,NEU,3
đóng gói đẹp giao đúng hàng sp chất lượng giá tốt rất hài lòng shop ơi sẽ tiếp tục ủng hộ nè,POS,5
tuy nhiên mình mua 2 cái thì cái size l ở tay áo bị viết số màu xanh lên chỗ tay áo mình giặt ko ra,NEG,1
shop đóng gói cẩn thận có kèm 1 tờ thiệp và 1 tờ rơi giới thiệu nữa,POS,5
chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vờio,POS,5
ko ưng y lam,NEG,2
shoppe nên coi lại chọn người bán cho c9s kinh nghiệm chút,NEG,2
chất lượng sản phẩm tuyệt vời,POS,5
giờ chẳng biết làm gì với cái áo đó,NEG,1
ncl rất ưng,POS,5
thời gian giao hàng rất nhanh,POS,5
kem thẩm thấu rất nhanh thoa xong sáng dậy có cảm giác căng da và mịn hơn còn việc chống lão hóa thì phải xài hết mới biết kết quả,POS,4
chất lượng ok mỗi tội bụng rộng quá lại phải sửa,NEU,3
shop phục vụ rất tốt,POS,5
chất áo mỏngg,NEU,3
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn,POS,5
đóng gói sản phẩm tốt cần thêm hộp đựng sẽ tốt hơn,POS,4
chất liệu vải thì cũng tạm được chán cái đường chỉ 1 cái thì bục chỉ ở túi còn 1 cái máy cả vào chun,NEG,2
đóng gói sản phẩm rất đẹp và chắc chắn đóng gói sản phẩm rất đẹp và chắc chắn áo khá to so với mình nên bạn nào muốn mua size l mà tướng người nhỏ bé thì nên chọn soze m nha được tặng móc khóa hình jinmin thích lắmm,POS,5
hàng chuẩn uy tín,POS,4
mua 2 chai mà mới xịt dc 1 lần thì hư mất cái nắp,NEU,3
thời gian giao hàng rất nhanh,POS,5
đặt hàng ko giao hàng là sao vậy á,NEG,1
hơi mỏng k như mong đợi,NEG,2
ủng hộ shop ngàn sao luôn nè,POS,5
hic,NEG,2
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn chủ s nhiệt tình vui tính,POS,4
giao hàng nhanh,POS,4
chất lượng khá tốt,POS,4
vải dày và co giãn tốt,POS,4
nhưng nếu màu hồng tươi thì ok,POS,4
vải rất đẹp,POS,5
chất lượng sản phẩm tốt đóng gói sản phẩm chắc chắn shop phục vụ khá tốt thời gian giao hàng hơi chậm,NEU,3
áo này dày hơn và chất đẹp hơn cái màu trắng mk mua,POS,4
mình 50 kg bầu 4 tháng mua size 2 xl mà mặc vừa zin dáng quần đẹp mấy nữa bụng to tí phải mua size to hơn thôi,NEU,3
chất lượng sản phẩm tuyệt vời,POS,5
nỉ ấm và dày,POS,5
có chút trục trặc nhưng sửa lại thì vẫn đẹp,POS,4
chất lượng sản phẩm tuyệt vời,POS,5
chất áo đẹp lên dáng ok mỗi tội mặc hơi ngứa 1 tí đóng gói sản phẩm rất đẹp và chắc chắn thời gian giao hàng rất nhanh,POS,5
giao lâu,NEG,2
chất dai đanh và lì mặt,NEU,3
giao hàg thì thôi nhah khỏi nói,POS,4
đóng gói sản phẩm rất đẹp và chắc chắn thời gian giao hàng rất nhanh vải áo hơi mỏng,POS,4
muốn làm đại lý sỉ,POS,5
san pha m nay vua shopee qua do mua ve toi k xay dc ngay ca khoai tay nau chi n ma xay con k nhuyễn nua,NEU,3
size hơi to nhỉ 45 kg 1 m50 size s rồi mà hơi rộng,POS,4
chất lượng sản phẩm tạm được trượt cơ học khá dít gây khó khăn cho sử dụng,NEG,2
nhưng áo khiến mình hơi thất vọng,NEG,2
mặc khá xinh nhưng chất vải xấu mỏng cứng,NEG,2
chất lượng sản phẩm phù hợp vs giá,POS,4
mới dùng chất lượng ok,POS,5
thời gian giao hàng rất nhanh,POS,5
mua ba cái thấy ok,POS,4
đẹp quá ủng hộ shop lâu dài,POS,5
áo mặc ok lắm mọi người cứ tin tưởng mua hàng nhé,POS,5
dù sao với <num> k thì chất lượng như vậy là quá được,POS,4
đẹp dã man thế này,POS,5
áo xinh lắm nhé mấy nàng với giá này thì áo vậy là đẹp rồi,POS,4
khô gà bị mặn cả nhà mình đều kêu vậy,NEG,1
giao hàng nhanh,POS,5
áo rất ấm,POS,5
hơi thất vọng,NEG,2
chất lượng sp tuyệt vời,POS,5
huhuu sr vì bh mới xác nhận đã nhận hàng quên béng đi mất,NEG,2
c chất lượng sản phẩm tuyệt vời rất đáng tiền thời gian giao hàng rất nhanh,POS,5
hết cherry nên shop gọi bảo mình đổi mẫu chứ ko tự giao mẫu khác chọn chuyển qua dưa hấu,NEU,3
sản phẩm tốt phù hợp với giá tiền,POS,5
len chất hơi cứng chút nhưng vẫn mặc ok,NEU,3
kiểu dáng đúng mô tả tuy nhiên quá mềm không có độ cứng của khung túi nên kém sang,NEU,3
áo cực đẹp nhé vải ko dày lắm đâu nên mình nghĩ vẫn mặc trong mùa hè đc cơ mà lần sau em mua shop đừng gọi mẹ em nhé,POS,5
vải mỏng quá mỏng,NEG,2
chất thích mà size hơi nhỏ so với size bthg,NEG,2
hàng đẹp chất lượng,POS,5
sp không có hộp nhé,NEG,1
rất đáng tiền,POS,4
nhìn ưng lắm,POS,4
chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời,POS,5
ưng lắm shop à,POS,5
chất lượng sản phẩm tốt thời gian giao hàng tạm được,NEU,3
còn về hàng thì okie luôn,POS,5
m chua thử nhưng thấy chất rất đẹp,POS,5
yến sam,NEU,3
xấu quắc kg giống hình cảm thấy khó chịu,NEG,1
3 in 1 mà mở hộp ra có mỗi 2 len thiếu mất len macro,NEG,2
chất lượng sản phẩm rất kém khong co dich vụ la sao chất lượng sản phẩm tốt,POS,5
hộp hơi trầy nhưng hàng đóng gói kĩ,NEU,3
dat xám gjao xah thất vọg về sp,NEG,2
sản phẩm tốt giá rẻ,POS,4
nhưng good,POS,4
thất vọng kinh khủng,NEG,1
vậy là oke so với giá tiền rồi,POS,5
chất lượng sản phẩm tuyệt vời thời gian giao hàng rất nhanh rất đáng tiền,POS,5
hàng đẹp đúng y hình,POS,4
đóng gói sản phẩm rất chắc chắn thời gian giao hàng rất nhanh,POS,5
chất lượng sản phẩm không được tốt bằng sản phẩm mình mua trực tiếp ở các cửa hàng,NEG,1
tks shop,POS,5
thời gian giao hàng nhanh,POS,5
shop phục vụ rất tốt,POS,5
form ko đẹp ko định hình tốt vòng 1,NEG,1
ống tay hơi nhỏ,NEG,2
đc shop lì xì nữa,POS,5
sản phẩm chất lượng quá tệ,NEG,1
shop giao hàng nhanh còn phục vụ nhiệt tình nữa,POS,5
biết đẹp thế mình mua thêm cái màu đỏ nữa,POS,5
chỉ bung hết ra,NEG,2
5 sao nha,POS,5
